i,j,k,r,phi
0,14,0,21.2367605816,0.0
0,14,1,20.5426385842,0.0
0,14,2,19.8746069144,0.0
0,14,3,19.2353840617,0.0
0,14,4,18.6279360102,0.0
0,14,5,18.0554700853,0.0
0,14,6,17.5214154679,0.0
0,14,7,17.0293863659,0.0
0,14,8,16.5831239518,0.0
0,14,9,16.1864140562,0.0
0,14,10,15.8429795178,0.0
0,14,11,15.5563491861,0.0
0,14,12,15.3297097168,0.0
0,14,13,15.1657508881,0.0
0,14,14,15.0665191733,0.0
0,14,15,15.0332963784,0.0
0,14,16,15.0665191733,0.0
0,14,17,15.1657508881,0.0
0,14,18,15.3297097168,0.0
0,14,19,15.5563491861,0.0
0,14,20,15.8429795178,0.0
0,14,21,16.1864140562,0.0
0,14,22,16.5831239518,0.0
0,14,23,17.0293863659,0.0
0,14,24,17.5214154679,0.0
0,14,25,18.0554700853,0.0
0,14,26,18.6279360102,0.0
0,14,27,19.2353840617,0.0
0,14,28,19.8746069144,0.0
0,14,29,20.5426385842,0.0
0,15,0,21.2132034356,0.0
0,15,1,20.5182845287,0.0
0,15,2,19.8494332413,0.0
0,15,3,19.2093727123,0.0
0,15,4,18.6010752377,0.0
0,15,5,18.0277563773,0.0
0,15,6,17.4928556845,0.0
0,15,7,17.0,0.0
0,15,8,16.5529453572,0.0
0,15,9,16.1554944214,0.0
0,15,10,15.8113883008,0.0
0,15,11,15.5241746963,0.0
0,15,12,15.2970585408,0.0
0,15,13,15.1327459504,0.0
0,15,14,15.0332963784,0.0
0,15,15,15.0,0.0
0,15,16,15.0332963784,0.0
0,15,17,15.1327459504,0.0
0,15,18,15.2970585408,0.0
0,15,19,15.5241746963,0.0
0,15,20,15.8113883008,0.0
0,15,21,16.1554944214,0.0
0,15,22,16.5529453572,0.0
0,15,23,17.0,0.0
0,15,24,17.4928556845,0.0
0,15,25,18.0277563773,0.0
0,15,26,18.6010752377,0.0
0,15,27,19.2093727123,0.0
0,15,28,19.8494332413,0.0
0,15,29,20.5182845287,0.0
0,16,0,21.2367605816,0.0
0,16,1,20.5426385842,0.0
0,16,2,19.8746069144,0.0
0,16,3,19.2353840617,0.0
0,16,4,18.6279360102,0.0
0,16,5,18.0554700853,0.0
0,16,6,17.5214154679,0.0
0,16,7,17.0293863659,0.0
