i,j,r,A_Z,B
30,18,8.60232526704,0.178323146505,0.0182865327843
30,19,7.81024967591,0.193465248047,0.0201357427368
30,20,7.07106781187,0.20905842792,0.022235396031
30,21,6.40312423743,0.224659955041,0.0245737281311
30,22,5.83095189485,0.239468518704,0.0270868767344
30,23,5.38516480713,0.252214612564,0.0296008001546
30,24,5.09901951359,0.261139022546,0.0317165122035
30,25,5.0,0.264374443319,0.0326869766222
30,26,5.09901951359,0.260926633175,0.0317530348594
30,27,5.38516480713,0.251788905788,0.0296704565209
30,28,5.83095189485,0.23882766535,0.0271845311142
30,29,6.40312423743,0.223801152343,0.0246942859816
30,30,7.07106781187,0.207977979466,0.0223747909775
30,31,7.81024967591,0.192158419488,0.0202911288723
30,32,8.60232526704,0.176784296341,0.0184561485618
30,33,9.43398113206,0.162077720084,0.0168574465635
30,34,10.295630141,0.148118752161,0.015472268506
30,35,11.1803398875,0.134917943315,0.0142746469873
30,36,12.0830459736,0.122439120169,0.0132399247175
30,37,13.0,0.110632316081,0.0123458014368
30,38,13.9283882772,0.0994335779053,0.0115735431237
30,39,14.8660687473,0.0887822198564,0.0109071745886
30,40,15.8113883008,0.0786136658986,0.0103339274791
30,41,16.7630546142,0.0688705137586,0.00984304397189
30,42,17.7200451467,0.0594942760883,0.00942622799676
30,43,18.6815416923,0.0504333817281,0.00907644337663
30,44,19.6468827044,0.0416358309745,0.00878851818464
30,45,20.6155281281,0.033055057759,0.0085580000048
30,46,21.5870331449,0.0246442024787,0.0083819044346
30,47,22.5610283454,0.0163600523104,0.00825762255555
30,48,23.5372045919,0.00815918583052,0.00818377921561
30,49,24.5153013443,0.0,0.00407959291526
31,0,25.7099202644,0.0,0.00366896091128
31,1,24.7386337537,0.00733792182256,0.00735984982607
31,2,23.769728648,0.0147105744221,0.0074256019166
31,3,22.803508502,0.0221524391396,0.00753605162198
31,4,21.8403296678,0.0296994134549,0.00769204939577
31,5,20.8806130178,0.0373866381647,0.00789541985934
31,6,19.9248588452,0.0452520314786,0.00814808668721
31,7,18.973665961,0.0533321945033,0.00845308550787
31,8,18.0277563773,0.0616676954896,0.00881375454499
31,9,17.0880074906,0.0702970166718,0.00923475092882
31,10,16.1554944214,0.0792633264635,0.0097213146358
31,11,15.2315462117,0.0886062767592,0.0102802656242
31,12,14.3178210633,0.0983696772707,0.0109193212208
31,13,13.416407865,0.108590508719,0.0116479996787
31,14,12.5299640861,0.119306136428,0.0124768697606
31,15,11.6619037897,0.130538750608,0.0134181106805
31,16,10.8166538264,0.142298912442,0.0144842703428
31,17,10.0,0.154560953359,0.0156877493246
31,18,9.21954445729,0.167255879919,0.017037896631
31,19,8.48528137424,0.180228799818,0.0185375893897
31,20,7.81024967591,0.193210692777,0.0201758646433
31,21,7.21110255093,0.205751652158,0.021917143609
31,22,6.7082039325,0.217182231076,0.0236819058049
31,23,6.32455532034,0.226579044834,0.0253174009369
31,24,6.0827625303,0.232859053456,0.0265632371115
31,25,6.0,0.235029254661,0.0270679993547
31,26,6.0827625303,0.232652180303,0.026591125334
31,27,6.32455532034,0.226164415376,0.0253714470557
31,28,6.7082039325,0.21655804394,0.0237592948167
31,29,7.21110255093,0.204915240516,0.0220148198679
31,30,7.81024967591,0.192158419488,0.0202911288723
31,31,8.48528137424,0.178956161627,0.0186683867027
31,32,9.21954445729,0.165757333825,0.0171828411971
31,33,10.0,0.152830069578,0.0158460697637
31,34,10.8166538264,0.140328133617,0.014655692827
31,35,11.6619037897,0.128319589501,0.0136027840284
31,36,12.5299640861,0.116828870077,0.0126752757926
31,37,13.416407865,0.10584441544,0.0118609179745
31,38,14.3178210633,0.0953426681991,0.0111477771677
31,39,15.2315462117,0.0852851652625,0.0105255238146
31,40,16.1554944214,0.075633399654,0.00998485060393
31,41,17.0880074906,0.066342328831,0.00951825909361
31,42,18.0277563773,0.0573705820269,0.00911913354055
31,43,18.973665961,0.0486735794332,0.00878245276259
31,44,19.9248588452,0.0402108860296,0.00850377324845
31,45,20.8806130178,0.0319402908736,0.0082799895962
31,46,21.8403296678,0.02382295536,0.00810830474677
31,47,22.803508502,0.0158190240454,0.00798706093433
31,48,23.769728648,0.00789077297622,0.00791472277791
31,49,24.7386337537,0.0,0.00394538648811
32,0,25.9615099715,0.0,0.00353084192135
32,1,25.0,0.00706168384269,0.0070831865098
32,2,24.0416305603,0.014154352614,0.00714808193228
32,3,23.0867927612,0.0213095576653,0.00725660939296
32,4,22.1359436212,0.0285581118376,0.00740981147465
32,5,21.1896201004,0.0359324734562,0.00760864912441
32,6,20.2484567313,0.0434635383799,0.00785496556948
32,7,19.3132079158,0.0511847306699,0.00815064257752
32,8,18.3847763109,0.0591268406602,0.00849855565156
32,9,17.4642491966,0.0673236010392,0.00890176711573
32,10,16.5529453572,0.0758044241515,0.00936444193232
32,11,15.6524758425,0.0846010233703,0.00989105373241
32,12,14.7648230602,0.093737645533,0.0104871987151
32,13,13.8924439894,0.103237848052,0.0111587323035
32,14,13.0384048104,0.113111234471,0.0119123259559
32,15,12.2065556157,0.123358605549,0.0127543021588
32,16,11.401754251,0.133953065173,0.0136905574862
32,17,10.6301458127,0.144840316961,0.0147245399578
32,18,9.89949493661,0.155910619995,0.0158557230468
32,19,9.21954445729,0.166990419038,0.0170755835277
32,20,8.60232526704,0.177803891212,0.0183630628504
32,21,8.0622577483,0.187961043783,0.0196764878679
32,22,7.61577310586,0.196929708607,0.0209438622585
32,23,7.28010988928,0.204067749729,0.0220511460495
32,24,7.07106781187,0.208688891782,0.0228403056438
32,25,7.0,0.21023883988,0.0231404468907
32,26,7.07106781187,0.208488418001,0.0228615669038
32,27,7.28010988928,0.203665937493,0.0220927746997
32,28,7.61577310586,0.196324854519,0.021004347527
32,29,8.0622577483,0.187150538408,0.0197540870908
32,30,8.60232526704,0.176784296341,0.0184561485618
32,31,9.21954445729,0.165757333825,0.0171828411971
32,32,9.89949493661,0.154458807754,0.0159762486843
32,33,10.6301458127,0.14316350626,0.0148578339863
32,34,11.401754251,0.132044123227,0.0138365081999
32,35,12.2065556157,0.121209276479,0.0129131304231
